id,category,title,company,target_filename
pc-34,PC,뿌까 퍼니레이스,그라비티,뿌까_퍼니레이스.jpg
pc-35,PC,서머너즈 워: 크로니클,컴투스,서머너즈_워_크로니클.jpg
pc-36,PC,서유기전 온라인,엠게임,서유기전_온라인.jpg
pc-37,PC,SUPERVIVE,Theorycraft Games,supervive.jpg
pc-38,PC,스타크래프트,블리자드 엔터테인먼트,스타크래프트.jpg
pc-39,PC,얍카,열림커뮤니케이션,얍카.jpg
pc-42,PC,엘소드,KOG,엘소드.jpg
pc-44,PC,우뿌,NHN,우뿌.jpg
pc-47,PC,윈드슬레이어,해밀린,윈드슬레이어.jpg
pc-48,PC,전략적 팀 전투,라이엇 게임즈,전략적_팀_전투.jpg
pc-50,PC,케로로파이터,온미디어,케로로파이터.jpg
pc-51,PC,쿵야 어드벤처,넷마블,쿵야_어드벤처.jpg
pc-52,PC,큐플레이,넥슨,큐플레이.jpg
pc-54,PC,톰 클랜시의 레인보우식스 시즈,유비소프트,톰_클랜시의_레인보우식스_시즈.jpg
pc-55,PC,Path of Exile 2,Grinding Gear Games,path_of_exile_2.jpg
pc-56,PC,프리프,Gala Lab,프리프.jpg
pc-58,PC,하스스톤,블리자드 엔터테인먼트,하스스톤.jpg
pc-59,PC,하이퍼유니버스,CWAVESOFT,하이퍼유니버스.jpg
pc-60,PC,히어로즈 오브 더 스톰,블리자드 엔터테인먼트,히어로즈_오브_더_스톰.jpg
pc-62,PC,마법학교 아스티넬,엔씨소프트,마법학교_아스티넬.jpg
pc-63,PC,믹스마스터,싸이미디어,믹스마스터.jpg
pc-64,PC,바우트,엔로그소프트,바우트.jpg
pc-65,PC,라테일,Actoz Soft,라테일.jpg
pc-66,PC,디지몬 RPG,Move Games,디지몬_rpg.jpg
pc-67,PC,디지몬 온라인,Bandai,디지몬_온라인.jpg
pc-68,PC,로스트사가,Valofe,로스트사가.jpg
mobile-29,Mobile,가디언 테일즈,Kong Studios,가디언_테일즈.jpg
mobile-40,Mobile,드래곤플라이트,NextFloor,드래곤플라이트.jpg
mobile-41,Mobile,디지몬 링크즈,반다이 남코,디지몬_링크즈.jpg
mobile-47,Mobile,매직서바이벌,lemo,매직서바이벌.jpg
mobile-49,Mobile,메이플스토리 M,넥슨,메이플스토리_m.jpg
mobile-50,Mobile,메이플스토리 도적편,넥슨,메이플스토리_도적편.jpg
mobile-52,Mobile,메이플스토리 핸디월드,넥슨,메이플스토리_핸디월드.jpg
mobile-53,Mobile,명일방주: 엔드필드,하이퍼그리프,명일방주_엔드필드.jpg
mobile-54,Mobile,명조:워더링 웨이브,쿠로 게임즈,명조_워더링_웨이브.jpg
mobile-67,Mobile,소녀전선,Mica Team,소녀전선.jpg
mobile-68,Mobile,소녀전선2: 망명,Mica Team,소녀전선2_망명.jpg
mobile-82,Mobile,Yu-Gi-Oh! Duel Links,코나미,yu_gi_oh_duel_links.jpg
mobile-83,Mobile,Yu-Gi-Oh! Master Duel,코나미,yu_gi_oh_master_duel.jpg
mobile-87,Mobile,제노니아 5,게임빌,제노니아_5.jpg
mobile-101,Mobile,프로젝트 세카이 컬러풀 스테이지! feat.하츠네 미쿠,세가,프로젝트_세카이_컬러풀_스테이지_feat하츠네_미쿠.jpg
mobile-107,Mobile,Cytus,Rayark,cytus.jpg
mobile-108,Mobile,DEEMO,Rayark,deemo.jpg
mobile-123,Mobile,Jet Car Stunts,GRIP Digital s.r.o.,jet_car_stunts.jpg
mobile-124,Mobile,Speed Demons 2,Radiangames,speed_demons_2.jpg
console-74,Console,놀러오세요 동물의 숲,닌텐도,놀러오세요_동물의_숲.jpg
console-76,Console,닌자베이스볼배트맨,Irem,닌자베이스볼배트맨.jpg
console-79,Console,더 킹 오브 파이터즈 XV,SNK,더_킹_오브_파이터즈_xv.jpg
console-80,Console,도와줘! 리듬 히어로,닌텐도,도와줘_리듬_히어로.jpg
console-82,Console,동방비상천칙 ~ 초대형 기뇰의 수수께끼를 쫓아서,Twilight Frontier,동방비상천칙_초대형_기뇰의_수수께끼를_쫓아서.jpg
console-83,Console,동방영야초 ~ Imperishable Night.,Team Shanghai Alice,동방영야초_imperishable_night.jpg
console-84,Console,동방요요몽 ~ Perfect Cherry Blossom.,Team Shanghai Alice,동방요요몽_perfect_cherry_blossom.jpg
console-87,Console,동방홍마향 ~ the Embodiment of Scarlet Devil.,Team Shanghai Alice,동방홍마향_the_embodiment_of_scarlet_devil.jpg
console-88,Console,드래곤 퀘스트 V 천공의 신부,스퀘어 에닉스,드래곤_퀘스트_v_천공의_신부.jpg
console-89,Console,디지몬 챔피언십,반다이 남코,디지몬_챔피언십.jpg
console-90,Console,라그나로크 DS,GungHo,라그나로크_ds.jpg
console-91,Console,라이덴 2,Seibu Kaihatsu,라이덴_2.jpg
console-92,Console,Life is Feudal: MMO,Bitbox Ltd.,life_is_feudal_mmo.jpg
